,creator,duration,id,labels,ladder,title,views
0,,442.0,RvO7SqcVJtw,"[50, 850, 998, 1042]","[{'160 - 256x144 (DASH video)': 108.0}, {'133 - 426x240 (DASH video)': 242.0}, {'134 - 640x360 (DASH video)': 350.617}, {'135 - 854x480 (DASH video)': 1155.0}]",Growing Healthy Locs,1826.0
1,,247.0,Rw1Ml8dTBK4,"[2, 64, 76, 1043]","[{'160 - 256x144 (144p)': 110.441}, {'133 - 426x240 (240p)': 248.075}, {'134 - 640x360 (360p)': 614.75}, {'135 - 854x480 (480p)': 1136.7}, {'136 - 1280x720 (720p)': 2229.926}]","Some of the boats of B.A.M.M. and Central Park, Burnaby, B.C",1243.0
2,,185.0,Rx4Bz24oZE4,"[11, 20, 229, 771, 917, 2034]","[{'134 - 640x360 (360p)': 574.645}, {'137 - 1920x1080 (1080p)': 3788.444}]","SharKeisha Punch ""Cocktail""",2589.0
3,,281.0,RyAkF6Ai-Ls,"[11, 20, 1011, 1049]","[{'160 - 256x144 (144p)': 110.798}, {'133 - 426x240 (240p)': 247.098}, {'134 - 638x360 (360p)': 395.099}]",The Cherry Siesta (SMOOTHIES TO HELP YOU SLEEP!!!),2564.0
4,,146.0,DfaVinOVUYE,[3],"[{'160 - 192x144 (144p)': 116.85}, {'133 - 320x240 (240p)': 258.024}, {'134 - 480x360 (360p)': 625.716}, {'135 - 640x480 (480p)': 1143.257}]",JLS - MJ Tribute - Aston Merrygold - I Want You Back - HMV Hammersmith Apollo - 7th March 2010,5616.0
5,,232.0,-2EEPW7g8fc,"[9, 10, 37]","[{'160 - 256x144 (144p)': 110.189}, {'133 - 426x240 (240p)': 248.872}, {'134 - 640x360 (360p)': 606.901}, {'135 - 854x480 (480p)': 1112.29}, {'136 - 1280x720 (720p)': 2225.438}, {'137 - 1920x1080 (1080p)': 4159.101}]",NAMM 2015 - SCHECTER 2015 Guitar Lineup | GEAR GODS,3932.0
6,,351.0,owYjX_lF-JY,"[26, 199, 326, 682, 1464]","[{'160 - 256x144 (144p)': 116.248}, {'133 - 426x240 (240p)': 247.809}, {'134 - 640x360 (360p)': 465.457}, {'135 - 854x480 (480p)': 1201.296}, {'136 - 1280x720 (720p)': 1204.817}]",Superman Statue Garage Kit Paint Up,2593.0
7,,284.0,ox2_fBLhNSM,[39],"[{'160 - 256x144 (144p)': 111.897}, {'133 - 426x240 (240p)': 265.902}, {'134 - 640x360 (360p)': 450.079}, {'135 - 854x480 (480p)': 847.587}, {'136 - 1280x720 (720p)': 1434.421}, {'137 - 1920x1080 (1080p)': 2249.54}]",Cómo Ocultar tu Última Conexion en Whatsapp 2014 actualizado,269711.0
8,,142.0,oyohPM0fgFo,"[2, 17]","[{'160 - 256x144 (144p)': 110.674}, {'133 - 320x180 (144p)': 245.963}]",Fourtrack praderas Aibonito ATV Banshee,32105.0
9,,355.0,eh_REKyZZ78,"[2, 7, 48, 224, 267, 415, 566]","[{'160 - 256x144 (144p)': 83.948}, {'133 - 426x240 (240p)': 153.988}, {'134 - 640x360 (360p)': 359.165}, {'135 - 854x480 (480p)': 651.772}, {'136 - 1280x720 (720p)': 1143.36}, {'137 - 1920x1080 (1080p)': 2275.205}]",Unveiling of the 2014 Camaro Z28,59520.0
